311,01,2,BYP,BYPASS,,0,36,,,22
311,01,2,LNC,LNCT,,0,37,,,22
311,01,3,PGB,PGBT COLLEG,,0,3,,,0
311,01,3,GIT,GITANJALI C,,0,4,,,5
311,01,3,DIG,DIG CHOURAH,,0,5,,,5
311,01,3,KAJ,KAJI CAMP,,0,6,,,5
311,01,3,SIN,SINDHI COLO,,0,7,,,5
311,01,3,BHO,BHOPAL TALK,,0,8,,,5
311,01,3,NAD,NADARA BUS ,,0,9,,,7
311,01,3,BHO,BHOPAL STAT,,0,10,,,7
311,01,3,BHA,BHARAT TALK,,0,11,,,7
311,01,3,BHO,BHOPAL STAT,,0,12,,,9
311,01,3,KAM,KAMPU KA BA,,0,13,,,9
311,01,3,PUS,PUSHPA NAGA,,0,14,,,9
311,01,3,GRE,GREEN PARK,,0,15,,,9
311,01,3,ASH,ASHOKA GARD,,0,16,,,12
311,01,3,ASH,ASHOKA GARD,,0,17,,,12
311,01,3,SWA,SWAMI VIVEK,,0,18,,,12
311,01,3,PRA,PRABHAT PET,,0,19,,,12
311,01,3,APS,APSARA TALK,,0,20,,,12
311,01,3,BIJ,BIJLI COLON,,0,21,,,14
311,01,3,GOV,GOVINDPURA,,0,22,,,14
311,01,3,ITI,ITI,,0,23,,,14
311,01,3,CPR,CPRI COLONY,,0,24,,,14
311,01,3,JK ,JK ROAD,,0,25,,,16
311,01,3,BHE,BHEL GATE,,0,26,,,16
311,01,3,JUB,JUBILY GATE,,0,27,,,16
311,01,3,BIM,BIMA HOSPIT,,0,28,,,16
311,01,3,PIP,PIPLANI PET,,0,29,,,16
311,01,3,KAL,KALPANA NAG,,0,30,,,18
311,01,3,RAT,RATNAGIRI,,0,31,,,18
311,01,3,ANA,ANAND NAGAR,,0,32,,,18
311,01,3,SID,SIDDARDH LA,,0,33,,,18
311,01,3,ORI,ORIENTAL CO,,0,34,,,20
311,01,3,NRI,NRI COLLEGE,,0,35,,,20
311,01,3,BYP,BYPASS,,0,36,,,22
311,01,3,LNC,LNCT,,0,37,,,22
311,01,4,GIT,GITANJALI C,,0,4,,,0
311,01,4,DIG,DIG CHOURAH,,0,5,,,5
311,01,4,KAJ,KAJI CAMP,,0,6,,,5
311,01,4,SIN,SINDHI COLO,,0,7,,,5
311,01,4,BHO,BHOPAL TALK,,0,8,,,5
311,01,4,NAD,NADARA BUS ,,0,9,,,5
311,01,4,BHO,BHOPAL STAT,,0,10,,,7
311,01,4,BHA,BHARAT TALK,,0,11,,,7
311,01,4,BHO,BHOPAL STAT,,0,12,,,7
311,01,4,KAM,KAMPU KA BA,,0,13,,,9
311,01,4,PUS,PUSHPA NAGA,,0,14,,,9
311,01,4,GRE,GREEN PARK,,0,15,,,9
311,01,4,ASH,ASHOKA GARD,,0,16,,,9
311,01,4,ASH,ASHOKA GARD,,0,17,,,12
311,01,4,SWA,SWAMI VIVEK,,0,18,,,12
311,01,4,PRA,PRABHAT PET,,0,19,,,12
311,01,4,APS,APSARA TALK,,0,20,,,12
311,01,4,BIJ,BIJLI COLON,,0,21,,,14
311,01,4,GOV,GOVINDPURA,,0,22,,,14
311,01,4,ITI,ITI,,0,23,,,14
311,01,4,CPR,CPRI COLONY,,0,24,,,14
311,01,4,JK ,JK ROAD,,0,25,,,16
311,01,4,BHE,BHEL GATE,,0,26,,,16
311,01,4,JUB,JUBILY GATE,,0,27,,,16
